Profit and Loss by Month,,,,,,,,,,,,,
Bandwear.com Inc.,,,,,,,,,,,,,
"January-December, 2024",,,,,,,,,,,,,

Distribution account,January 2024,February 2024,March 2024,April 2024,May 2024,June 2024,July 2024,August 2024,September 2024,October 2024,November 2024,December 2024,Total
Transactional Costs,"4,395.11","4,450.77","3,781.90","3,681.62","1,830.10","2,274.17","2,298.06","3,914.60","6,253.70","4,782.08","7,620.77","10,560.01","55,842.89"
Total for CONSIGN Costs,"5,443.62","5,098.19","3,781.90","3,681.62","1,830.10","2,274.17","2,142.06","3,914.60","6,569.66","4,782.08","7,620.77","11,044.00","$58,182.77"
MFTR Costs,,,,,,,,,,,,,
Art Design Costs,,,,,,,,,540.16,,250.00,,790.16
Blanks Costs,"88,384.41","22,650.96","50,122.21","14,629.49","40,305.28","59,453.88","48,510.89","97,205.70","50,865.47","52,530.96","47,668.62","12,971.54","585,299.41"
DTG Costs,500.00,"1,357.50",,500.00,"2,815.02","1,124.00","1,175.00","1,000.00","1,494.50","2,082.50","3,096.50","15,193.57","30,338.59"
Embroidery Costs,"4,869.50","5,939.10","2,399.60","4,315.25",141.45,528.00,"5,926.00","3,976.85","8,411.00","3,596.50","1,250.00","1,141.75","42,495.00"
Paper Printing Costs,"1,171.52","4,356.23","1,039.50",314.08,"8,272.93","3,873.62","3,395.92","5,758.33","2,259.90","4,155.11",158.54,180.45,"34,936.13"
Promo Products Cost,"19,398.49","7,657.18","22,338.66","9,195.94","8,706.52","7,310.03","12,744.71","43,636.86","41,092.95","25,442.28","12,624.99","4,416.90","214,565.51"
Screenprinting Costs,"32,696.90","9,473.70","16,326.28","7,435.46","11,205.98","18,522.66","16,604.74","42,758.46","21,814.55","27,401.03","12,898.62","13,816.16","230,954.54"
Sticker Costs,176.20,"1,568.25","1,104.23","2,393.40","3,312.22",253.70,261.40,"1,663.49",348.54,"1,510.83",,"2,414.54","15,006.80"
Total for MFTR Costs,"147,197.02","53,002.92","93,330.48","38,783.62","74,759.40","91,065.89","88,618.66","195,999.69","126,827.07","116,719.21","77,947.27","50,134.91","$1,154,386.14"
SHIPPING Costs,,,,,,,,,,,,,
E-Comm & Fulfillment Postage,"30,745.33","39,384.81","47,429.31","43,328.71","18,637.32","30,897.93","34,626.53","29,960.92","26,243.26","32,223.78","55,695.58","72,502.16","461,675.64"
Freight Costs,"14,437.79","4,388.96","16,454.49","8,345.89","4,471.82","5,011.53","6,280.08","18,694.87","15,113.76","16,167.19","10,958.53","5,458.57","125,783.48"
Total for SHIPPING Costs,"45,183.12","43,773.77","63,883.80","51,674.60","23,109.14","35,909.46","40,906.61","48,655.79","41,357.02","48,390.97","66,654.11","77,960.73","$587,459.12"
Total for Cost of Goods Sold,"197,823.76","101,874.88","160,996.18","94,139.84","99,698.64","129,249.52","131,667.33","248,570.08","174,753.75","169,892.26","152,222.15","139,139.64","$1,800,028.03"
Gross Profit,"188,396.79","147,210.50","156,117.93","117,973.09","76,079.07","125,518.10","150,547.33","97,582.71","183,272.48","195,508.61","185,623.11","162,755.08","$1,786,584.80"
Expenses,,,,,,,,,,,,,
Bad Debt,,,"5,099.00",331.46,,,,,,124.89,,,"5,555.35"
Bank & Credit Card Fees,"3,576.79","3,624.38","2,885.23","3,911.75","1,618.23","1,949.38","3,853.94","2,812.70","4,249.42","5,182.74","2,633.22","4,292.95","40,590.73"
Bank Service Charges,52.00,30.00,52.00,52.00,52.00,30.00,128.50,52.00,52.00,52.00,52.00,30.00,634.50
QuickBooks Payments Fees,755.13,"1,449.90","1,156.49","2,199.27",778.31,"1,644.05","1,292.47","2,343.64","3,552.14","2,231.25","1,581.90","1,516.62","20,501.17"
Total for Bank & Credit Card Fees,"4,383.92","5,104.28","4,093.72","6,163.02","2,448.54","3,623.43","5,274.91","5,208.34","7,853.56","7,465.99","4,267.12","5,839.57","$61,726.40"
Charitable Contributions,"1,665.82",,,,,,,,,,,,"1,665.82"
Customer/Employee Relations,,,,,,,,,,,107.78,"1,013.90","1,121.68"
Dues & Subscriptions,224.82,22.38,160.95,22.38,118.31,22.72,272.72,22.38,22.38,22.38,22.38,22.38,956.18
Insurance,,,,,,,,,,,,,
Health,272.02,"12,441.35","3,467.89","3,467.89","4,819.61","4,819.61","-8,406.05","15,144.79","4,819.61","4,819.61","4,819.61","4,819.61","55,305.55"
Liability Insurance,"1,522.99","1,522.99","1,523.03","1,718.16","1,718.08","1,718.08","1,718.08","1,718.08","1,952.06","1,776.07","1,776.07","1,776.07","20,439.76"
Van/Auto,,,,"2,030.00",,,,,,,,,"2,030.00"
Workers Comp,"-1,644.00",574.00,,574.00,"1,148.00",,559.00,559.00,559.00,559.00,,136.00,"3,024.00"
Total for Insurance,151.01,"14,538.34","4,990.92","7,790.05","7,685.69","6,537.69","-6,128.97","17,421.87","7,330.67","7,154.68","6,595.68","6,731.68","$80,799.31"
Interest Expense,456.97,395.49,389.22,"2,424.68",376.74,395.96,389.26,370.20,400.00,345.26,516.16,366.82,"6,826.76"
Marketing,,,,,,,,,,,,,
Advertising,,513.23,,,513.23,223.53,,513.24,,,513.23,,"2,276.46"
Total for Marketing,,513.23,,,513.23,223.53,,513.24,,,513.23,,"$2,276.46"
Payroll Expenses,,,,,,,,,,,,,
Taxes,"12,657.05","5,689.50","7,258.54","12,031.06","6,118.00","5,667.16","8,670.72","5,837.40","5,498.65","5,451.29","5,534.64","7,009.83","87,423.84"
Wages,"108,116.41","77,705.11","83,754.43","83,963.76","79,540.32","75,695.26","116,162.01","78,514.57","75,788.92","76,584.61","78,112.31","94,047.44","1,027,985.15"
Total for Payroll Expenses,"120,773.46","83,394.61","91,012.97","95,994.82","85,658.32","81,362.42","124,832.73","84,351.97","81,287.57","82,035.90","83,646.95","101,057.27","$1,115,408.99"
Professional Fees,,,,,,,,,,,,,
Accounting,,,,,,,,,,,"3,400.00",,"3,400.00"
Consulting,,,,,,,,,"5,083.00","5,083.00","5,083.00","5,083.00","20,332.00"
3rd Party Consulting,"5,484.98","2,028.62","2,804.06","2,971.98",691.59,"4,253.85",367.00,"6,181.77","4,665.00","6,467.00","6,593.60","7,228.85","49,738.30"
Owner Consulting,"8,500.00","8,500.00","8,500.00","8,500.00","8,500.00","10,500.00","13,583.00","13,583.00","8,500.00","8,500.00","8,500.00","8,500.00","114,166.00"
Total for Consulting,"13,984.98","10,528.62","11,304.06","11,471.98","9,191.59","14,753.85","13,950.00","19,764.77","18,248.00","20,050.00","20,176.60","20,811.85","$184,236.30"
Legal,,,,,,393.75,,,,,,,393.75
Total for Professional Fees,"13,984.98","10,528.62","11,304.06","11,471.98","9,191.59","15,147.60","13,950.00","19,764.77","18,248.00","20,050.00","23,576.60","20,811.85","$188,030.05"
Rent,"16,575.65","13,333.33","13,333.33","13,333.33","13,333.33","13,333.33","13,333.33","13,333.33","13,800.00","13,800.00","13,800.00","13,800.00","165,108.96"
Repairs,,,,,,,,,,,,,
Auto Repairs & Maintenance,,,,,,,,,,,,421.13,421.13
Building Repairs/Maintenance,,,,,,,362.25,300.00,,,,795.00,"1,457.25"
Equipment Repairs,,,,,,,582.35,,,,,,582.35
Total for Repairs,,,,,,,944.60,300.00,,,,"1,216.13","$2,460.73"
Samples,,,,,196.46,,,50.00,205.00,80.00,,,531.46
Supplies,765.04,"9,560.21","4,006.41","1,097.21",727.24,862.79,521.93,"1,249.16","1,040.99","1,753.02","1,811.24","4,682.05","28,077.29"
Office Supplies,70.63,56.49,,,30.58,199.95,,610.94,"1,378.80",23.85,153.43,,"2,524.67"
Shipping Supplies,"5,936.51","6,414.67","8,712.55","4,250.07","1,465.70","5,908.11","3,403.66","4,339.78","5,501.94","7,638.92","8,032.76","7,175.32","68,779.99"
Warehouse Supplies,"1,110.45",134.12,"1,907.78",570.68,451.35,852.12,43.30,"1,219.56",137.64,154.96,573.61,"1,265.57","8,421.14"
Total for Supplies,"7,882.63","16,165.49","14,626.74","5,917.96","2,674.87","7,822.97","3,968.89","7,419.44","8,059.37","9,570.75","10,571.04","13,122.94","$107,803.09"
Taxes,,,,,,,,,,,,,
Federal,,,,,,,,,"9,441.00",,,"-4,600.00","4,841.00"
Property Taxes,,,,,,,,,,,"6,330.44",,"6,330.44"
Tax Penalty,153.97,,,"1,310.77",96.24,,,,,315.22,137.88,,"2,014.08"
Total for Taxes,153.97,,,"1,310.77",96.24,,,,"9,441.00",315.22,"6,468.32","-4,600.00","$13,185.52"
Travel & Ent,,,,,,,,,,,,,
Fuel/Gas Expense,128.04,70.51,144.69,150.64,136.94,68.75,69.65,198.03,131.35,179.53,55.05,182.35,"1,515.53"
Meals,151.87,701.22,437.75,117.69,392.02,368.34,512.65,496.40,357.50,357.20,"1,989.18","2,032.90","7,914.72"
Total for Travel & Ent,279.91,771.73,582.44,268.33,528.96,437.09,582.30,694.43,488.85,536.73,"2,044.23","2,215.25","$9,430.25"
Utilities & Office Services,,,,,,,,,,,,,
Cleaning Service,270.63,270.63,270.63,270.63,270.63,270.63,270.63,270.63,270.63,270.63,270.63,324.75,"3,301.68"
Gas and Electric,"1,216.70","3,292.50","1,301.81",507.51,84.74,"1,447.53","1,471.07","1,332.78","1,430.13","1,101.31",127.68,"1,069.17","14,382.93"
Internet,210.86,,421.72,210.86,210.86,210.86,210.86,210.87,210.87,210.87,210.87,210.87,"2,530.37"
IT Services,,,,,,,,,,213.19,,,213.19
Pest Control,135.31,135.31,135.31,135.31,135.31,135.31,135.31,135.31,135.31,135.31,135.31,135.31,"1,623.72"
Shredding,112.20,112.20,112.20,112.20,,352.30,120.05,120.05,120.05,120.05,120.05,120.05,"1,521.40"
Telephone,333.70,333.70,333.70,333.14,333.14,333.14,333.62,333.62,333.62,334.12,334.12,334.12,"4,003.74"
Trash Service,299.62,299.62,299.62,299.62,317.02,317.02,317.02,317.02,317.02,317.02,317.02,317.02,"3,734.64"
Water,226.10,71.39,149.22,121.80,133.67,121.80,121.80,172.21,71.39,174.38,73.56,123.97,"1,561.29"
Total for Utilities & Office Services,"2,805.12","4,515.35","3,024.21","1,991.07","1,485.37","3,188.59","2,980.36","2,892.49","2,889.02","2,876.88","1,589.24","2,635.26","$32,872.96"
Web Applications,"6,460.11","6,594.52","5,737.29","14,620.03","6,437.11","6,188.51","7,105.22","6,852.03","6,644.82","7,604.83","6,080.71","7,073.63","87,398.81"
Total for Expenses,"175,798.37","155,877.37","154,354.85","161,639.88","130,744.76","138,283.84","167,505.35","159,194.49","156,670.24","151,983.51","159,799.44","171,306.68","$1,883,158.78"
Net Operating Income,"12,598.42","-8,666.87","1,763.08","-43,666.79","-54,665.69","-12,765.74","-16,958.02","-61,611.78","26,602.24","43,525.10","25,823.67","-8,551.60","-$96,573.98"
Other Income,,,,,,,,,,,,,
Interest Income,631.77,585.19,,60.04,58.30,37.21,0.49,0.50,0.51,0.49,0.50,0.47,"1,375.47"
Sales Tax Early Filing,,16.61,10.42,7.90,,10.21,9.37,8.71,10.37,0.00,17.36,15.70,106.65
Total for Other Income,631.77,601.80,10.42,67.94,58.30,47.42,9.86,9.21,10.88,0.49,17.86,16.17,"$1,482.12"
Other Expenses,,,,,,,,,,,,,
Net Other Income,631.77,601.80,10.42,67.94,58.30,47.42,9.86,9.21,10.88,0.49,17.86,16.17,"$1,482.12"
Net Income,"13,230.19","-8,065.07","1,773.50","-43,598.85","-54,607.39","-12,718.32","-16,948.16","-61,602.57","26,613.12","43,525.59","25,841.53","-8,535.43","-$95,091.86"



"Accrual Basis Friday, February 06, 2026 12:03 AM GMT-06:00",,,,,,,,,,,,,
