Profit and Loss by Month,,,,,,,,,,,,,
Bandwear.com Inc.,,,,,,,,,,,,,
"January-December, 2023",,,,,,,,,,,,,

Distribution account,January 2023,February 2023,March 2023,April 2023,May 2023,June 2023,July 2023,August 2023,September 2023,October 2023,November 2023,December 2023,Total
Art Design Sales,200.00,389.91,46.20,303.96,142.50,368.73,125.00,,477.50,245.00,99.33,150.00,"2,548.13"
Blanks Sales,"20,364.74","58,776.73","103,653.40","92,864.65","58,691.90","43,792.93","48,637.88","199,072.42","110,183.71","163,417.36","106,969.10","52,591.80","1,059,016.62"
Credit Card Surcharge,,,299.08,"1,765.43","1,666.16","3,599.17","1,477.16","1,306.71","2,182.08","1,629.68","1,955.37","1,265.74","17,146.58"
DTG Printing,843.08,459.13,"1,885.67",961.82,152.06,"3,288.99","3,712.46","1,191.67",426.15,541.94,"1,343.18",958.98,"15,765.13"
Embroidery Sales,"3,552.50","2,862.52","9,554.25","7,662.00","12,959.11","3,831.00","3,682.60","16,492.18","15,663.05","6,399.72","9,615.94","2,910.28","95,185.15"
Paper Printing Sales,,"3,070.22","28,734.22",,"8,099.00",892.00,"2,798.46","2,142.81","3,707.83",520.00,"20,001.00",,"69,965.54"
Promotional Product Sales,"1,817.50","30,239.28","43,260.54","6,058.90","180,146.80","49,477.48","14,411.31","9,149.09","45,752.11","64,654.55","10,552.66","35,256.02","490,776.24"
Rush Charge Sales,,,,,175.00,,99.00,,,,,,274.00
Sales Discounts,-536.00,"-8,477.50","-11,258.79","-7,666.64","-1,759.17",-102.88,"-3,062.44","-24,471.87","-13,611.78","-33,142.97","-7,382.75","-9,402.11","-120,874.90"
Screenprinting Sales,"6,362.70","27,372.85","37,771.20","24,905.41","18,863.18","19,043.40","17,651.68","71,410.30","43,070.95","64,279.49","38,149.34","22,152.49","391,032.99"
Setup,25.00,150.00,175.00,50.00,400.00,75.00,75.00,25.00,250.00,175.00,300.00,275.00,"1,975.00"
Sticker Sales,"1,234.49","1,280.75","3,932.75",,"1,056.00","1,680.00",845.00,750.00,"2,072.05","2,131.25","2,550.04","1,534.00","19,066.33"
Total for MFTR Sales,"33,864.01","116,123.89","218,053.52","126,905.53","281,218.54","125,945.82","90,453.11","277,068.31","210,173.65","270,851.02","184,153.21","107,692.20","$2,042,502.81"
OTHER Sales,,,,,,,,,,,,,
Misc. Income,,,,,390.01,,,,132.77,25.54,36.73,,585.05
Outside Sales Commission,"2,593.50","4,573.00","4,015.00","6,077.00","5,121.00","4,627.00","5,127.50","3,414.84","3,900.00","8,558.00","4,548.50","5,175.00","57,730.34"
Total for OTHER Sales,"2,593.50","4,573.00","4,015.00","6,077.00","5,511.01","4,627.00","5,127.50","3,414.84","4,032.77","8,583.54","4,585.23","5,175.00","$58,315.39"
SHIPPING Sales,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Courier,,,291.05,819.50,107.80,39.55,,,64.25,,,85.00,"1,407.15"
E-Commerce Postage,"18,289.61","18,303.16","51,500.71","37,038.56","39,370.29","28,983.13","20,721.25","33,225.55","21,631.04","43,792.12","43,564.07","51,424.17","407,843.66"
Freight Revenue,"7,773.79","15,662.75","36,462.20","17,574.62","46,713.42","34,969.78","9,453.11","30,426.24","56,669.50","16,593.32","21,703.63","14,938.64","308,941.00"
Fulfillment Postage,"8,520.18","7,882.31","9,164.17","9,383.66","3,506.43","8,778.47","3,385.96","7,538.19","3,187.31","5,960.54","11,428.58","24,942.57","103,678.37"
Total for SHIPPING Sales,"34,583.58","41,848.22","97,418.13","64,816.34","89,697.94","72,770.93","33,560.32","71,189.98","81,552.10","66,345.98","76,696.28","91,390.38","$821,870.18"
Total for Income,"140,512.81","203,028.61","452,163.54","284,715.16","475,478.81","282,359.00","249,906.02","405,127.79","383,071.72","419,210.89","425,618.60","176,170.03","$3,897,362.98"
Cost of Goods Sold,,,,,,,,,,,,,
CONSIGN Costs,,,,,,,,,,,,,
Consignment Product,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Merchbar Selling Fees,920.61,,,,,,,"1,057.65",483.30,"1,485.01",766.17,"1,982.80","6,695.54"
Transactional Costs,"2,046.02","4,273.62","6,047.02","4,433.32","4,492.13","2,391.55","5,660.44","5,227.11","4,535.64","7,837.58","5,457.67","8,319.72","60,721.82"
Total for CONSIGN Costs,"2,966.63","4,273.62","6,047.02","4,433.32","4,492.13","2,391.55","5,660.44","6,284.76","5,018.94","9,322.59","6,223.84","10,302.52","$67,417.36"
MFTR Costs,,,,,,,,,,,,,
Art Design Costs,,,,550.00,425.00,,,,,,,,975.00
Blanks Costs,"21,547.51","67,461.34","46,797.02","42,405.28","27,272.73","40,684.25","34,042.83","108,706.94","108,975.73","36,689.60","62,372.15","26,955.35","623,910.73"
CD & USB Manufacturing,,,,,,,,,"3,440.00",,,,"3,440.00"
DTG Costs,"1,000.00",500.00,"1,000.00","1,000.00",500.00,"2,117.54","2,742.00",500.00,500.00,500.00,"1,500.00","2,250.98","14,110.52"
Embroidery Costs,"4,837.85","2,287.00","5,734.25","7,609.75","6,188.00","7,419.25","3,832.25","2,750.00","6,582.95","8,214.55","2,275.30","4,476.00","62,207.15"
Paper Printing Costs,241.97,"7,010.24","21,468.20",,446.00,630.38,"1,455.87","2,921.02","1,216.93",270.51,"11,817.02","2,870.17","50,348.31"
Promo Products Cost,"8,329.32","17,064.20","-1,208.78","5,475.48","118,623.05","30,459.09","26,828.47","16,497.05","28,279.63","35,607.23","31,434.16","-4,079.65","313,309.25"
Screenprinting Costs,"11,015.85","12,232.34","25,032.35","7,987.62","9,968.29","9,198.59","12,724.70","35,750.62","37,050.39","19,725.85","19,122.88","8,634.79","208,444.27"
Sticker Costs,"1,745.63",336.35,694.66,"1,768.32",796.32,,,690.42,956.00,808.65,"1,389.91",819.58,"10,005.84"
Total for MFTR Costs,"48,718.13","106,891.47","99,517.70","66,796.45","164,219.39","90,509.10","81,626.12","167,816.05","187,001.63","101,816.39","129,911.42","41,927.22","$1,286,751.07"
SHIPPING Costs,,,,,,,,,,,,,
E-Comm & Fulfillment Postage,"27,333.19","28,682.93","62,297.57","66,072.04","60,736.58","36,193.94","57,117.47","33,346.93","29,248.49","64,601.80","41,209.77","87,956.89","594,797.60"
Freight Costs,"2,299.95","15,832.79","16,890.28","17,412.83","12,690.89","6,103.03","8,466.77","3,864.96","21,881.06","10,968.38","11,689.66","6,295.36","134,395.96"
Total for SHIPPING Costs,"29,633.14","44,515.72","79,187.85","83,484.87","73,427.47","42,296.97","65,584.24","37,211.89","51,129.55","75,570.18","52,899.43","94,252.25","$729,193.56"
Total for Cost of Goods Sold,"81,317.90","155,680.81","184,752.57","154,714.64","242,138.99","135,197.62","152,870.80","211,312.70","243,150.12","186,709.16","189,034.69","146,481.99","$2,083,361.99"
Gross Profit,"59,194.91","47,347.80","267,410.97","130,000.52","233,339.82","147,161.38","97,035.22","193,815.09","139,921.60","232,501.73","236,583.91","29,688.04","$1,814,000.99"
Expenses,,,,,,,,,,,,,
Bad Debt,,,,,,,,,,,,215.64,215.64
Bank & Credit Card Fees,"4,330.64","3,021.03","5,145.14","5,924.40","4,242.36","4,778.62","6,673.68","5,475.15","3,847.53","6,456.21","5,431.94","7,404.91","62,731.61"
Bank Service Charges,198.00,43.00,30.00,15.00,,,30.00,52.00,82.00,131.95,52.00,30.00,663.95
Fraud Loss,,,,,,,,,,"1,672.75",,,"1,672.75"
QuickBooks Payments Fees,877.38,"1,355.24","2,317.82","2,327.06","1,199.91","1,561.30","4,594.50","1,758.07","1,131.02","3,496.60","1,888.45","2,230.86","24,738.21"
Total for Bank & Credit Card Fees,"5,406.02","4,419.27","7,492.96","8,266.46","5,442.27","6,339.92","11,298.18","7,285.22","5,060.55","11,757.51","7,372.39","9,665.77","$89,806.52"
Charitable Contributions,,"1,241.90",,,,,,,,,,,"1,241.90"
Contract Labor,111.00,,,"1,074.53",,279.43,,"2,891.20",300.00,,13.55,21.12,"4,690.83"
Customer/Employee Relations,,,,,,,,,,,,"3,557.30","3,557.30"
Depreciation Expense,,,,,,,,,,,,446.00,446.00
Dues & Subscriptions,87.40,12.79,127.74,12.79,108.72,12.79,237.79,12.79,454.11,22.38,22.38,44.55,"1,156.23"
Equipment Rental,,,,,,,,,630.73,,,"19,882.54","20,513.27"
Insurance,,,,,,,,,,,,,
Health,"2,831.67","5,416.98","-2,645.83","2,831.67","2,831.67","3,630.42","3,487.24","1,903.21","4,052.41","2,525.09","4,052.41","3,467.89","34,384.83"
Liability Insurance,867.42,867.42,,"1,514.39","1,523.67",,"1,547.99","3,037.98","1,522.99","1,522.99","1,522.99","1,522.99","15,450.83"
Van/Auto,233.58,299.12,"1,984.08",,,,,,,,,,"2,516.78"
Workers Comp,,,"1,148.00",-620.00,612.00,,575.00,,574.00,574.00,574.00,574.00,"4,011.00"
Total for Insurance,"3,932.67","6,583.52",486.25,"3,726.06","4,967.34","3,630.42","5,610.23","4,941.19","6,149.40","4,622.08","6,149.40","5,564.88","$56,363.44"
Interest Expense,"6,421.00","3,026.62","2,751.04","2,017.78","2,012.93","1,122.03",454.06,462.03,455.54,463.51,413.99,421.83,"20,022.36"
Marketing,,,,,,,,,,,,,
Advertising,,481.15,,,481.15,,,513.24,,,513.23,,"1,988.77"
Total for Marketing,,481.15,,,481.15,,,513.24,,,513.23,,"$1,988.77"
Payroll Expenses,,,,,,,,,,,,,
Taxes,"-6,506.81","6,197.90","12,411.88","5,854.62","5,322.49","5,032.79","4,893.18","7,247.87","5,245.48","5,788.50","5,542.75","6,200.34","63,230.99"
Wages,"64,254.81","66,720.02","107,012.33","70,453.16","72,097.55","70,520.93","69,809.84","102,384.42","68,370.07","73,285.63","69,835.57","74,415.01","909,159.34"
Total for Payroll Expenses,"57,748.00","72,917.92","119,424.21","76,307.78","77,420.04","75,553.72","74,703.02","109,632.29","73,615.55","79,074.13","75,378.32","80,615.35","$972,390.33"
Professional Fees,,,,,,,,,,,,,
Accounting,,,,,,,,,"2,150.00",,,,"2,150.00"
Consulting,,,,,,,,,,,,,
3rd Party Consulting,,"3,215.70","1,375.53","3,695.20","4,048.42","2,019.20","2,076.38","1,556.34","1,158.85","1,581.84","1,581.25","1,318.25","23,626.96"
Owner Consulting,"8,500.00","8,500.00","8,500.00","8,500.00","8,500.00","11,500.00","8,500.00","8,500.00","8,500.00","8,500.00","8,500.00","8,500.00","105,000.00"
Total for Consulting,"8,500.00","11,715.70","9,875.53","12,195.20","12,548.42","13,519.20","10,576.38","10,056.34","9,658.85","10,081.84","10,081.25","9,818.25","$128,626.96"
Legal,485.00,"2,598.75",,,990.00,,,,,,,,"4,073.75"
Total for Professional Fees,"8,985.00","14,314.45","9,875.53","12,195.20","13,538.42","13,519.20","10,576.38","10,056.34","11,808.85","10,081.84","10,081.25","9,818.25","$134,850.71"
Rent,"10,838.15","9,800.00","9,800.00","9,800.00","9,800.00","9,800.00","9,800.00","9,800.00","13,333.33","13,333.33","13,333.33","13,333.33","132,771.47"
Repairs,,,,,,,,,,,,,
Auto Repairs & Maintenance,,,,,,,,84.44,,,,,84.44
Building Repairs/Maintenance,,"4,253.85",,,,,300.00,,,,,,"4,553.85"
Equipment Repairs,,,,,,,695.41,,300.00,,921.29,,"1,916.70"
Total for Repairs,,"4,253.85",,,,,995.41,84.44,300.00,,921.29,,"$6,554.99"
Samples,,,,,220.00,,100.00,,,14.98,,,334.98
Supplies,638.06,27.05,393.69,483.52,617.94,"1,451.20",791.30,"1,206.45",694.68,"1,860.60","1,296.40","1,268.49","10,729.38"
Office Supplies,"2,907.57",114.27,54.13,"2,308.81",61.35,15.77,332.06,110.96,423.43,"6,016.34","2,686.19",598.07,"15,628.95"
Shipping Supplies,"8,139.37","8,698.23","11,576.15","7,541.62","4,170.76","3,443.64","2,220.94","7,357.87","3,512.70","7,014.16","9,683.27","3,859.53","77,218.24"
Warehouse Supplies,,"1,555.88","2,344.60",705.55,425.16,641.60,119.74,"1,070.56","1,852.83","1,817.02",437.25,715.84,"11,686.03"
Total for Supplies,"11,685.00","10,395.43","14,368.57","11,039.50","5,275.21","5,552.21","3,464.04","9,745.84","6,483.64","16,708.12","14,103.11","6,441.93","$115,262.60"
Taxes,,,,,,,,,,,,,
Property Taxes,,,,,,"8,862.39",,,,"6,289.06",,,"15,151.45"
Total for Taxes,,,,,,"8,862.39",,,,"6,289.06",,,"$15,151.45"
Travel & Ent,,,,,,,,,,,,,
Auto Rental/Transportation,94.49,,34.31,90.03,5.93,146.59,133.62,,,,,,504.97
Bus,,238.00,,,,119.00,,,,,,,357.00
Fuel/Gas Expense,56.92,133.36,73.53,250.14,145.53,75.78,149.41,150.32,300.88,37.89,119.34,108.47,"1,601.57"
Lodging,474.44,,249.34,457.85,,,638.28,,,,,,"1,819.91"
Meals,309.24,92.93,180.58,238.01,405.09,,552.09,609.82,328.32,520.89,"1,396.49","2,077.98","6,711.44"
Total for Travel & Ent,935.09,464.29,537.76,"1,036.03",556.55,341.37,"1,473.40",760.14,629.20,558.78,"1,515.83","2,186.45","$10,994.89"
Utilities & Office Services,,,,,,,,,,,,,
Cleaning Service,270.63,270.63,270.63,270.63,270.63,270.63,270.63,270.63,270.63,270.63,270.63,270.63,"3,247.56"
Gas and Electric,899.41,"3,020.57","1,571.27","1,990.36","1,670.83",698.38,"1,097.01","1,473.29","1,513.13","1,035.67",856.49,476.06,"16,302.47"
Internet,195.78,19.00,421.72,210.86,210.86,210.86,210.86,210.86,196.83,210.86,210.86,210.86,"2,520.21"
Pest Control,135.31,135.31,135.31,135.31,135.31,135.31,135.31,135.31,135.31,,135.31,135.51,"1,488.61"
Shredding,104.86,,209.72,,104.86,112.20,224.40,160.20,112.20,112.20,112.20,136.20,"1,389.04"
Telephone,333.63,333.63,333.63,522.20,332.30,332.30,332.48,332.48,332.48,334.24,332.30,332.30,"4,183.97"
Trash Service,246.91,278.65,278.65,278.65,278.65,278.65,278.65,278.65,299.62,299.62,299.62,299.62,"3,395.94"
Water,46.78,262.64,71.39,119.86,180.20,71.39,71.39,242.30,119.86,71.39,119.86,71.39,"1,448.45"
Total for Utilities & Office Services,"2,233.31","4,320.43","3,292.32","3,527.87","3,183.64","2,109.72","2,620.73","3,103.72","2,980.06","2,334.61","2,337.27","1,932.57","$33,976.25"
Web Applications,"7,707.95","5,513.48","6,110.54","11,344.22","6,388.27","5,636.51","5,844.55","6,501.60","7,173.09","10,955.84","10,159.46","6,654.42","89,989.93"
Total for Expenses,"116,090.59","137,745.10","174,266.92","140,348.22","129,394.54","132,759.71","127,177.79","165,790.04","129,374.05","156,216.17","142,314.80","160,801.93","$1,712,279.86"
Net Operating Income,"-56,895.68","-90,397.30","93,144.05","-10,347.70","103,945.28","14,401.67","-30,142.57","28,025.05","10,547.55","76,285.56","94,269.11","-131,113.89","$101,721.13"
Other Income,,,,,,,,,,,,,
Interest Income,,,,209.83,250.95,241.50,391.85,751.31,,649.64,722.90,902.30,"4,120.28"
Sales Tax Early Filing,10.27,9.44,18.02,19.07,17.20,15.52,27.94,16.27,17.70,16.13,46.71,31.45,245.72
Total for Other Income,10.27,9.44,18.02,228.90,268.15,257.02,419.79,767.58,17.70,665.77,769.61,933.75,"$4,366.00"
Other Expenses,,,,,,,,,,,,,
Net Other Income,10.27,9.44,18.02,228.90,268.15,257.02,419.79,767.58,17.70,665.77,769.61,933.75,"$4,366.00"
Net Income,"-56,885.41","-90,387.86","93,162.07","-10,118.80","104,213.43","14,658.69","-29,722.78","28,792.63","10,565.25","76,951.33","95,038.72","-130,180.14","$106,087.13"



"Accrual Basis Friday, February 06, 2026 12:03 AM GMT-06:00",,,,,,,,,,,,,
