Profit and Loss by Month,,,,,,,,,,,,,
Bandwear.com Inc.,,,,,,,,,,,,,
"January-December, 2026",,,,,,,,,,,,,

Distribution account,January 2026,February 2026,March 2026,April 2026,May 2026,June 2026,July 2026,August 2026,September 2026,October 2026,November 2026,December 2026,Total
Professional Fees,,,,,,,,,,,,,
Consulting,"5,083.00",,,,,,,,,,,,"5,083.00"
3rd Party Consulting,180.00,,,,,,,,,,,,180.00
Owner Consulting,"8,500.00","8,500.00","8,500.00",,,,,,,,,,"25,500.00"
Total for Consulting,"13,763.00","8,500.00","8,500.00",,,,,,,,,,"$30,763.00"
Total for Professional Fees,"13,763.00","8,500.00","8,500.00",,,,,,,,,,"$30,763.00"
Rent,"21,156.41","14,266.66",,,,,,,,,,,"35,423.07"
Supplies,607.22,623.83,,,,,,,,,,,"1,231.05"
Shipping Supplies,"1,439.62",610.53,,,,,,,,,,,"2,050.15"
Warehouse Supplies,65.00,,,,,,,,,,,,65.00
Total for Supplies,"2,111.84","1,234.36",,,,,,,,,,,"$3,346.20"
Travel & Ent,,,,,,,,,,,,,
Fuel/Gas Expense,56.02,,,,,,,,,,,,56.02
Meals,109.07,222.37,,,,,,,,,,,331.44
Total for Travel & Ent,165.09,222.37,,,,,,,,,,,$387.46
Utilities & Office Services,324.75,,,,,,,,,,,,324.75
Gas and Electric,893.04,,,,,,,,,,,,893.04
Internet,220.95,,,,,,,,,,,,220.95
Pest Control,135.31,,,,,,,,,,,,135.31
Shredding,128.45,,,,,,,,,,,,128.45
Telephone,338.10,338.10,,,,,,,,,,,676.20
Trash Service,390.35,390.35,,,,,,,,,,,780.70
Water,139.10,,,,,,,,,,,,139.10
Total for Utilities & Office Services,"2,570.05",728.45,,,,,,,,,,,"$3,298.50"
Web Applications,"6,540.91","1,076.64",,,,,,,,,,,"7,617.55"
Total for Expenses,"164,838.74","27,943.70","8,499.98",,,,,,,,,,"$201,282.42"
Net Operating Income,"-16,345.66","52,779.85","-8,499.98",,,,,,,,,,"$27,934.21"
Other Income,,,,,,,,,,,,,
Interest Income,3.22,3.16,,,,,,,,,,,6.38
Total for Other Income,3.22,3.16,,,,,,,,,,,$6.38
Other Expenses,,,,,,,,,,,,,
Net Other Income,3.22,3.16,,,,,,,,,,,$6.38
Net Income,"-16,342.44","52,783.01","-8,499.98",,,,,,,,,,"$27,940.59"



"Accrual Basis Friday, February 06, 2026 12:04 AM GMT-06:00",,,,,,,,,,,,,
